end_list,start_list,value_list,start,end,value,multiply_value,indexResult
DB00320,DB00696,0.827224,DB00320,DB13345,0.920401,0.761377796824,0.2916304979710412
DB00397,DB00610,0.760263,DB00397,DB01486,1.0,0.760263,0.2897054229310214
DB00397,DB01486,1.0,DB00397,DB00610,0.760263,0.760263,0.2897054229310214
DB00452,DB01172,0.769484,DB00452,DB01421,0.98773,0.7600424313199999,0.28932571183422257
DB00376,DB00810,0.759257,DB00376,DB00387,1.0,0.759257,0.2879767305697702
DB00376,DB00387,1.0,DB00376,DB00810,0.759257,0.759257,0.2879767305697702
DB00387,DB00376,1.0,DB00387,DB00810,0.759257,0.759257,0.2879767305697702
DB00007,DB00644,0.793039,DB00007,DB06825,0.957357,0.759221437923,0.2879157686908668
DB00007,DB06825,0.957357,DB00007,DB00644,0.793039,0.759221437923,0.2879157686908668
DB00433,DB00372,0.848528,DB00433,DB12710,0.894427,0.7589463534559999,0.28744454779379097
DB00415,DB01604,0.829288,DB00415,DB01060,0.913259,0.757354729592,0.2847298670230674
DB00178,DB11783,0.7698,DB00178,DB00519,0.981481,0.7555440738000001,0.2816659257041114
DB00541,DB00361,0.802127,DB00541,DB00570,0.941812,0.755452834124,0.2815122149076315
DB00295,DB00318,0.88218,DB00295,DB01466,0.85584,0.7550049312,0.28075858343346677
DB00182,DB09352,0.750939,DB00182,DB01576,1.0,0.750939,0.27398895953137087
DB00182,DB01576,1.0,DB00182,DB09352,0.750939,0.750939,0.27398895953137087
DB00353,DB01253,0.893,DB00353,DB00247,0.83942,0.7496020600000001,0.27179100943532974
DB00353,DB00247,0.83942,DB00353,DB01253,0.893,0.7496020600000001,0.27179100943532974
DB00318,DB09209,0.841191,DB00318,DB01466,0.889297,0.748068632727,0.2692869640695835
DB00493,DB01413,0.797556,DB00493,DB01416,0.936626,0.747011686056,0.26757148520258833
DB00165,DB13084,0.864242,DB00165,DB11673,0.864242,0.746914234564,0.26741374599823037
DB00165,DB11673,0.864242,DB00165,DB13084,0.864242,0.746914234564,0.26741374599823037
DB00433,DB00831,0.83428,DB00433,DB12710,0.894427,0.74620255756,0.2662639890745597
DB00320,DB11273,0.810191,DB00320,DB13345,0.920401,0.745700606591,0.2654553750767873
DB00420,DB00477,0.885316,DB00420,DB00508,0.841021,0.744569347636,0.26363999377208164
DB00420,DB00508,0.841021,DB00420,DB00477,0.885316,0.744569347636,0.26363999377208164
DB00415,DB01602,0.815112,DB00415,DB01060,0.913259,0.744408370008,0.26338245368359026
DB00493,DB01332,0.794719,DB00493,DB01416,0.936626,0.7443544780939999,0.2632962784839593
DB00390,DB13467,0.834114,DB00390,DB01396,0.892308,0.744286595112,0.2631877622896604
DB00194,DB00118,0.743714,DB00194,DB00640,1.0,0.743714,0.26227381003045214
DB00223,DB00591,0.804084,DB00223,DB12553,0.924693,0.743530846212,0.261981990020009
DB00565,DB01226,0.819382,DB00565,DB00732,0.906962,0.7431483374840001,0.26137335211101254
DB00565,DB00732,0.906962,DB00565,DB01226,0.819382,0.7431483374840001,0.26137335211101254
DB00227,DB00641,0.852206,DB00227,DB06693,0.871827,0.7429762003620001,0.26109981155967793
DB00227,DB06693,0.871827,DB00227,DB00641,0.852206,0.7429762003620001,0.26109981155967793
DB00493,DB01066,0.791839,DB00493,DB01416,0.936626,0.741656995214,0.25901087542735607
DB00178,DB00881,0.754851,DB00178,DB00519,0.981481,0.7408719143310001,0.25777390705892206
DB00267,DB00493,0.848548,DB00267,DB01212,0.87266,0.74049389768,0.25717994982012665
DB00443,DB14640,0.739009,DB00443,DB01234,1.0,0.739009,0.2548571182915175
DB00295,DB11490,0.834966,DB00295,DB00318,0.88218,0.73659030588,0.2511085585152663
DB00513,DB00548,0.840168,DB00513,DB02530,0.876714,0.736587047952,0.25110353841891886
DB00513,DB02530,0.876714,DB00513,DB00548,0.840168,0.736587047952,0.25110353841891886
DB00136,DB05295,0.818488,DB00136,DB01436,0.899423,0.736166932424,0.2504568427410144
DB00420,DB01614,0.830949,DB00420,DB00477,0.885316,0.7356524448840001,0.24966664517531165
DB00194,DB01280,0.733674,DB00194,DB00640,1.0,0.733674,0.24664603717065287
DB00182,DB09250,0.733674,DB00182,DB01576,1.0,0.733674,0.24664603717065287
DB00162,DB00523,0.820513,DB00162,DB06755,0.891991,0.731890211383,0.24394709073553572
DB00007,DB00014,0.764426,DB00007,DB06825,0.957357,0.7318285820820001,0.24385425589030857
DB00548,DB03553,0.870388,DB00548,DB03796,0.840168,0.7312721451840001,0.24301731624619807
DB00548,DB00513,0.840168,DB00548,DB03553,0.870388,0.7312721451840001,0.24301731624619807
DB00557,DB00341,0.853913,DB00557,DB06282,0.853913,0.729167411569,0.23987178829279948
DB00249,DB01265,0.853409,DB00249,DB04485,0.853409,0.7283069212809999,0.23859495479292112
DB00249,DB04485,0.853409,DB00249,DB01265,0.853409,0.7283069212809999,0.23859495479292112
DB00477,DB00420,0.885316,DB00477,DB00508,0.821594,0.7273703137040001,0.2372111975716904
DB00194,DB00631,0.725476,DB00194,DB00640,1.0,0.725476,0.23443161806205165
DB00127,DB06824,0.752618,DB00127,DB03566,0.963624,0.7252407676320001,0.23408823346724128
DB00127,DB03566,0.963624,DB00127,DB06824,0.752618,0.7252407676320001,0.23408823346724128
DB00387,DB00505,0.724714,DB00387,DB00376,1.0,0.724714,0.2333206958045501
DB00485,DB01603,0.756978,DB00485,DB00301,0.956847,0.724312128366,0.23273645950808952
DB00415,DB01053,0.791554,DB00415,DB01060,0.913259,0.722893814486,0.23068363129913155
DB00376,DB01231,0.720158,DB00376,DB00387,1.0,0.720158,0.22676373859685825
DB00404,DB00897,0.867533,DB00404,DB00546,0.828956,0.719146685548,0.22532792843545302
DB00404,DB00546,0.828956,DB00404,DB00897,0.867533,0.719146685548,0.22532792843545302
DB00322,DB00249,0.842105,DB00322,DB01265,0.853409,0.718659985945,0.22463946693977627
DB00322,DB12028,0.842105,DB00322,DB01265,0.853409,0.718659985945,0.22463946693977627
DB00249,DB00322,0.842105,DB00249,DB04485,0.853409,0.718659985945,0.22463946693977627
DB00182,DB01472,0.717547,DB00182,DB01576,1.0,0.717547,0.22307124733630154
DB00153,DB01070,0.828663,DB00153,DB06410,0.865545,0.717245116335,0.22264736071653052
DB00153,DB06410,0.865545,DB00153,DB01070,0.828663,0.717245116335,0.22264736071653052
DB00493,DB00671,0.765625,DB00493,DB01416,0.936626,0.7171042812499999,0.22244982339564484
DB00319,DB01061,0.869861,DB00319,DB00948,0.823558,0.716380985438,0.22143746766311198
DB00319,DB00948,0.823558,DB00319,DB01061,0.869861,0.716380985438,0.22143746766311198
DB00341,DB08936,0.716335,DB00341,DB06282,1.0,0.716335,0.2213732260033258
DB00372,DB00433,0.848528,DB00372,DB12710,0.843274,0.7155416006719999,0.22026713067151155
DB00223,DB01384,0.773723,DB00223,DB12553,0.924693,0.715456242039,0.22014838726332706
DB00397,DB01364,0.715097,DB00397,DB01486,1.0,0.715097,0.2196491876795921
DB00397,DB00852,0.715097,DB00397,DB01486,1.0,0.715097,0.2196491876795921
DB00396,DB06780,0.85105,DB00396,DB00624,0.840083,0.71495263715,0.21944883081876584
DB00396,DB00624,0.840083,DB00396,DB06780,0.85105,0.71495263715,0.21944883081876584
DB00169,DB00153,0.796154,DB00169,DB00146,0.897549,0.714587226546,0.21894232445034129
DB00433,DB01622,0.798762,DB00433,DB12710,0.894427,0.7144342993739999,0.21873061804992078
DB00178,DB01348,0.727393,DB00178,DB00519,0.981481,0.713922409033,0.21802313673091947
DB00322,DB00432,0.836046,DB00322,DB04485,0.853409,0.7134891808139999,0.2174257674354213
DB00353,DB04829,0.797528,DB00353,DB01253,0.893,0.712192504,0.2156454207746021
DB00318,DB01551,0.800044,DB00318,DB01466,0.889297,0.711476729068,0.2146675318501886
DB00418,DB00312,0.803326,DB00418,DB01154,0.885365,0.7112367239899999,0.21434041216370803
DB00418,DB01352,0.803326,DB00418,DB01154,0.885365,0.7112367239899999,0.21434041216370803
DB00418,DB01154,0.885365,DB00418,DB00312,0.803326,0.7112367239899999,0.21434041216370803
DB00539,DB04938,0.834622,DB00539,DB00675,0.850033,0.709456242526,0.2119257736342921
DB00539,DB00675,0.850033,DB00539,DB04938,0.834622,0.709456242526,0.2119257736342921
DB00199,DB06587,0.736727,DB00199,DB01211,0.958426,0.706098311702,0.20742952954309693
DB00332,DB13833,0.889499,DB00332,DB08978,0.79356,0.7058708264400001,0.20712763806669365
DB00332,DB08978,0.79356,DB00332,DB13833,0.889499,0.7058708264400001,0.20712763806669365
DB00479,DB06696,0.879834,DB00479,DB01172,0.802077,0.705694615218,0.20689402668183382
DB00443,DB09383,0.70505,DB00443,DB01234,1.0,0.70505,0.2060411781412697
DB00443,DB00288,0.703526,DB00443,DB01234,1.0,0.703526,0.2040357589358391
DB00194,DB00928,0.702959,DB00194,DB00640,1.0,0.702959,0.20329354076526857
DB00493,DB13682,0.750134,DB00493,DB01416,0.936626,0.702595007884,0.2028181746696668
DB00367,DB00957,0.701713,DB00367,DB09389,1.0,0.701713,0.2016698806018178
DB00178,DB00691,0.714742,DB00178,DB00519,0.981481,0.701505692902,0.2014007219720573
DB00182,DB01577,0.700877,DB00182,DB01576,1.0,0.700877,0.2005861644303178
DB00093,DB09059,0.74841,DB00093,DB00067,0.936103,0.7005888462300001,0.20021368040826895
DB00565,DB01135,0.772315,DB00565,DB00732,0.906962,0.70046035703,0.2000477616821966
DB00415,DB01607,0.766652,DB00415,DB01060,0.913259,0.700151838868,0.19964980789918935
DB00332,DB11315,0.785714,DB00332,DB13833,0.889499,0.698891817286,0.1980309176284692
DB00136,DB04258,0.776324,DB00136,DB01436,0.899423,0.698243661052,0.19720215094319732
DB00136,DB02300,0.774806,DB00136,DB01436,0.899423,0.6968783369379999,0.19546521371886943
DB00514,DB00854,0.829515,DB00514,DB13810,0.840083,0.696861449745,0.19544380503872627
DB00514,DB14682,0.829515,DB00514,DB13810,0.840083,0.696861449745,0.19544380503872627
DB00514,DB13810,0.840083,DB00514,DB00854,0.829515,0.696861449745,0.19544380503872627
DB00194,DB02527,0.695235,DB00194,DB00640,1.0,0.695235,0.19339041995732006
DB00194,DB04944,0.693395,DB00194,DB00640,1.0,0.693395,0.1910877248742877
DB00493,DB01112,0.74018,DB00493,DB01416,0.936626,0.6932718326799999,0.19093435140652296
DB00294,DB00367,0.829341,DB00294,DB00304,0.834991,0.6924922709310001,0.18996582841155973
DB00294,DB00304,0.834991,DB00294,DB00367,0.829341,0.6924922709310001,0.18996582841155973
DB00223,DB00588,0.748455,DB00223,DB12553,0.924693,0.692091099315,0.18946890852991816
DB00493,DB00535,0.738599,DB00493,DB01416,0.936626,0.691791026974,0.189097879680734
DB00452,DB00684,0.7,DB00452,DB01421,0.98773,0.691411,0.1886288020824467
DB00415,DB00319,0.756889,DB00415,DB01060,0.913259,0.691235691251,0.1884127194108037
DB00332,DB00572,0.775971,DB00332,DB13833,0.889499,0.690225428529,0.18717123969616792
DB00367,DB14678,0.689508,DB00367,DB09389,1.0,0.689508,0.18629348992838057
DB00519,DB09477,0.702251,DB00519,DB00178,0.981481,0.689246013731,0.1859737588126559
DB00318,DB01452,0.773225,DB00318,DB01466,0.889297,0.687626672825,0.18400696810695608
DB00154,DB12961,0.686406,DB00154,DB14104,1.0,0.686406,0.1825351224058566
DB00396,DB01134,0.805417,DB00396,DB06780,0.85105,0.68545013785,0.1813889905186173
DB00493,DB00438,0.731507,DB00493,DB01416,0.936626,0.685148475382,0.18102844643364313
DB00477,DB01242,0.773402,DB00477,DB00420,0.885316,0.6847051650320001,0.18049961914166254
DB00397,DB06707,0.684653,DB00397,DB01486,1.0,0.684653,0.18043747039637015
DB00539,DB04468,0.805263,DB00539,DB00675,0.850033,0.684500123679,0.18025543149876472
DB00180,DB01260,0.828862,DB00180,DB00846,0.824688,0.6835525450559999,0.1791302817414944
DB00180,DB00846,0.824688,DB00180,DB01260,0.828862,0.6835525450559999,0.1791302817414944
DB00415,DB00417,0.747298,DB00415,DB01060,0.913259,0.6824766241820001,0.17785937791602643
DB00393,DB09232,0.824958,DB00393,DB01054,0.826869,0.682132196502,0.17745401901817778
DB00393,DB01054,0.826869,DB00393,DB09232,0.824958,0.682132196502,0.17745401901817778
DB00469,DB00554,0.828956,DB00469,DB06725,0.821462,0.6809558536720001,0.17607499635715937
DB00469,DB06725,0.821462,DB00469,DB00554,0.828956,0.6809558536720001,0.17607499635715937
DB00271,DB09346,0.804132,DB00271,DB09133,0.846114,0.680387343048,0.17541153201286097
DB00271,DB09133,0.846114,DB00271,DB09346,0.804132,0.680387343048,0.17541153201286097
DB00271,DB08948,0.804132,DB00271,DB09133,0.846114,0.680387343048,0.17541153201286097
DB00014,DB00007,0.764426,DB00014,DB00644,0.889946,0.6802978609960001,0.175307282085978
DB00312,DB00599,0.84678,DB00312,DB00418,0.803326,0.6802403902799999,0.17524035200945204
DB00312,DB00418,0.803326,DB00312,DB00599,0.84678,0.6802403902799999,0.17524035200945204
DB00279,DB03604,0.796391,DB00279,DB00509,0.854017,0.680131452647,0.17511353845907432
DB00194,DB00157,0.678915,DB00194,DB00640,1.0,0.678915,0.17370232304034539
DB00341,DB09002,0.678133,DB00341,DB06282,1.0,0.678133,0.17279980695053643
DB00143,DB03310,0.845154,DB00143,DB06179,0.801784,0.677630954736,0.17222231785798836
DB00143,DB06179,0.801784,DB00143,DB03310,0.845154,0.677630954736,0.17222231785798836
DB00367,DB13169,0.677356,DB00367,DB09389,1.0,0.677356,0.17190668247465296
DB00093,DB01282,0.723339,DB00093,DB00067,0.936103,0.677119807917,0.17163590469988815
DB00264,DB00195,0.813326,DB00264,DB00187,0.827329,0.6728881862539999,0.16684066956515392
DB00264,DB00187,0.827329,DB00264,DB00195,0.813326,0.6728881862539999,0.16684066956515392
DB00332,DB00747,0.756323,DB00332,DB13833,0.889499,0.672748552177,0.16668423588685446
DB00309,DB05168,0.735163,DB00309,DB00570,0.914894,0.672596217722,0.1665137041344628
DB00393,DB06712,0.812878,DB00393,DB01054,0.826869,0.6721436189819999,0.16600784106363314
DB00420,DB00458,0.758621,DB00420,DB00477,0.885316,0.671619309236,0.1654233247642874
DB00548,DB01440,0.771517,DB00548,DB03553,0.870388,0.6715191385960001,0.1653118341131886
DB00104,DB06791,0.831483,DB00104,DB09099,0.806938,0.6709552290540001,0.1646852901715954
DB00104,DB09099,0.806938,DB00104,DB06791,0.831483,0.6709552290540001,0.1646852901715954
DB00548,DB00139,0.7698,DB00548,DB03553,0.870388,0.6700246824000001,0.16365543131456992
DB00493,DB00456,0.714435,DB00493,DB01416,0.936626,0.66915839631,0.1627012056461862
DB00144,DB12176,0.801784,DB00144,DB04327,0.833333,0.6681530660720001,0.16159925893193713
DB00144,DB11677,0.801784,DB00144,DB04327,0.833333,0.6681530660720001,0.16159925893193713
DB00144,DB04327,0.833333,DB00144,DB12176,0.801784,0.6681530660720001,0.16159925893193713
DB00470,DB09061,0.728969,DB00470,DB14011,0.916125,0.667826725125,0.16124280774398947
DB00470,DB14011,0.916125,DB00470,DB09061,0.728969,0.667826725125,0.16124280774398947
DB00433,DB01063,0.746004,DB00433,DB12710,0.894427,0.667246119708,0.16061014607456156
DB00194,DB04335,0.666886,DB00194,DB00640,1.0,0.666886,0.16021871103131857
DB00194,DB12617,0.666726,DB00194,DB00640,1.0,0.666726,0.16004503628898778
DB00321,DB01142,0.828009,DB00321,DB09167,0.80468,0.66628228212,0.15956416209142787
DB00321,DB09167,0.80468,DB00321,DB01142,0.828009,0.66628228212,0.15956416209142787
DB00223,DB01047,0.720082,DB00223,DB12553,0.924693,0.665854784826,0.15910193173988665
DB00554,DB00469,0.828956,DB00554,DB06725,0.803179,0.665800051124,0.15904282644956216
DB00497,DB01192,0.878283,DB00497,DB01183,0.757317,0.6651386467110001,0.15832994643076007
DB00497,DB01183,0.757317,DB00497,DB01192,0.878283,0.6651386467110001,0.15832994643076007
DB00404,DB01215,0.76549,DB00404,DB00897,0.867533,0.66408783617,0.15720247356043926
DB00396,DB01420,0.779512,DB00396,DB06780,0.85105,0.6634036876,0.15647178008768897
DB00458,DB01151,0.758621,DB00458,DB01242,0.873589,0.662722960769,0.15574736898832975
DB00194,DB12405,0.662548,DB00194,DB00640,1.0,0.662548,0.15556160307795244
DB00267,DB01326,0.758076,DB00267,DB01212,0.87266,0.6615426021599999,0.1544974564256097
DB00452,DB03323,0.669439,DB00452,DB01421,0.98773,0.66122498347,0.15416245935282494
DB00353,DB00589,0.739009,DB00353,DB01253,0.893,0.659935037,0.15280774341641112
DB00341,DB00737,0.658733,DB00341,DB06282,1.0,0.658733,0.15155371289315442
DB00319,DB00415,0.756889,DB00319,DB01061,0.869861,0.6583882224290001,0.15119550551176095
DB00491,DB00419,0.810093,DB00491,DB14872,0.810093,0.656250668649,0.14898937910561805
DB00007,DB01284,0.684117,DB00007,DB06825,0.957357,0.654944198769,0.1476533941242603
DB00264,DB13777,0.791155,DB00264,DB00187,0.827329,0.654545474995,0.1472475265501372
DB00497,DB00704,0.745098,DB00497,DB01192,0.878283,0.654406906734,0.1471066792366195
DB00338,DB00736,0.916667,DB00338,DB00213,0.713746,0.654267404582,0.1469649886764223
DB00338,DB00213,0.713746,DB00338,DB00736,0.916667,0.654267404582,0.1469649886764223
DB00433,DB00623,0.730677,DB00433,DB12710,0.894427,0.653537237079,0.14622509985059845
DB00187,DB00335,0.789747,DB00187,DB00264,0.827329,0.653380595763,0.14606675164661348
DB00187,DB00264,0.827329,DB00187,DB00335,0.789747,0.653380595763,0.14606675164661348
DB00493,DB00689,0.697424,DB00493,DB01416,0.936626,0.653225451424,0.145910048394625
DB00396,DB01536,0.767421,DB00396,DB06780,0.85105,0.65311364205,0.1457971967422889
DB00251,DB01167,0.857644,DB00251,DB01026,0.761194,0.652833466936,0.14551470841448674
DB00251,DB01026,0.761194,DB00251,DB01167,0.857644,0.652833466936,0.14551470841448674
DB00563,DB06813,0.786583,DB00563,DB08878,0.829132,0.652181135956,0.14485864303306306
DB00563,DB08878,0.829132,DB00563,DB06813,0.786583,0.652181135956,0.14485864303306306
DB00443,DB00394,0.651503,DB00443,DB01234,1.0,0.651503,0.14417906931233238
DB00493,DB01139,0.695379,DB00493,DB01416,0.936626,0.651310051254,0.14398616594066754
DB00359,DB01581,0.80403,DB00359,DB00891,0.808138,0.64976719614,0.14245089246563103
DB00359,DB00891,0.808138,DB00359,DB01581,0.80403,0.64976719614,0.14245089246563103
DB00486,DB12193,0.811465,DB00486,DB06444,0.800036,0.64920121274,0.14189089804594218
DB00486,DB06444,0.800036,DB00486,DB12193,0.811465,0.64920121274,0.14189089804594218
DB00443,DB00324,0.647884,DB00443,DB01234,1.0,0.647884,0.14059426052775698
DB00443,DB00687,0.647884,DB00443,DB01234,1.0,0.647884,0.14059426052775698
