DrugID,DiseaseID
DB14090,MESH:D009021
DB00439,MESH:D009404
DB01178,MESH:D009410
DB11387,MESH:D020240
DB01178,MESH:D003251
DB01137,MESH:D006484
DB01373,MESH:D020184
DB14500,MESH:D003095
DB13014,MESH:D009303
DB00946,MESH:D009091
DB14574,MESH:D060825
DB00381,MESH:D009436
DB13014,MESH:D007906
DB00882,MESH:D014855
DB00439,MESH:D020237
DB00295,MESH:D015154
DB00655,MESH:D002534
DB05964,MESH:D047748
DB02650,MESH:D058426
DB00348,MESH:D020016
DB06159,MESH:D001989
DB00295,MESH:D008599
DB06335,MESH:D013959
DB00332,MESH:D058426
DB00556,MESH:D024821
DB14500,MESH:D012532
DB00295,MESH:D013132
DB08881,MESH:D055985
DB00183,MESH:D010198
DB01084,MESH:D014604
DB05964,MESH:D056806
DB00813,MESH:D003554
DB11132,MESH:D006876
DB04786,MESH:D058365
DB11151,MESH:D004169
DB00381,MESH:D015821
DB11151,MESH:D007249
DB04786,MESH:D006616
DB01645,MESH:D018458
DB05964,MESH:D011604
DB05964,MESH:D006192
DB00348,MESH:D010014
DB11132,MESH:D016155
DB00645,MESH:D018241
DB00332,MESH:D012221
DB01164,MESH:D007669
DB04076,MESH:D006947
DB06159,MESH:D012130
DB01672,MESH:D010049
DB01917,MESH:D006111
DB05409,MESH:D059606
DB13014,MESH:D006970
DB05409,MESH:D010412
DB00460,MESH:D063806
DB00183,MESH:D012140
DB06335,MESH:D009437
DB14574,MESH:D009497
DB13014,MESH:D008881
DB05790,MESH:D016135
DB05790,MESH:D006566
DB09073,MESH:D006560
DB01917,MESH:D014901
DB01525,MESH:D065630
DB00917,MESH:D005383
DB01446,MESH:D010292
DB01178,MESH:D006491
DB02650,MESH:D007571
DB06448,MESH:D009440
DB06448,MESH:D012817
DB00183,MESH:D010049
DB00655,MESH:D056653
DB01672,MESH:D013130
DB08881,MESH:D012868
DB00183,MESH:D003638
DB01917,MESH:D002481
DB04786,MESH:D015745
DB00882,MESH:D055756
DB01108,MESH:D008118
DB11151,MESH:D003556
DB01447,MESH:D012877
DB12531,MESH:D006980
DB00381,MESH:D002583
DB01917,MESH:D006106
DB08804,MESH:D006509
DB06211,MESH:D007674
DB09073,MESH:D007690
DB00480,MESH:D018754
DB05409,MESH:D007169
DB00556,MESH:D002037
DB05409,MESH:D016869
DB01178,MESH:D054141
DB00348,MESH:D016750
DB01178,MESH:D017119
DB02650,MESH:D006554
DB06335,MESH:D007414
DB00332,MESH:D017600
DB01164,MESH:D014718
DB09070,MESH:D002644
DB06153,MESH:D009006
DB01353,MESH:D012859
DB00655,MESH:D011552
DB01108,MESH:D002375
DB05964,MESH:D004820
DB00348,MESH:D015441
DB01776,MESH:D004427
DB14574,MESH:D004927
DB01645,MESH:D055613
DB01525,MESH:D018883
DB00480,MESH:D005921
DB00439,MESH:D020863
DB00655,MESH:D049912
DB01525,MESH:D006456
DB14090,MESH:D004461
DB00882,MESH:D006327
DB11141,MESH:D051271
DB01353,MESH:D012532
DB09073,MESH:D060446
DB11132,MESH:D011657
DB06153,MESH:D053842
DB00917,MESH:D054066
DB01280,MESH:D054138
DB11141,MESH:D020763
DB01373,MESH:D005311
DB00712,MESH:D015456
DB01108,MESH:D016891
DB01446,MESH:D019043
DB00176,MESH:D005211
DB00439,MESH:D007759
DB12531,MESH:D011778
DB00813,MESH:D051271
DB01084,MESH:D056829
DB06159,MESH:D002921
DB14090,MESH:D014252
DB05964,MESH:D012162
DB01447,MESH:D058739
DB11132,MESH:D024821
DB01525,MESH:D004827
DB00348,MESH:D058566
DB00460,MESH:D002177
DB01373,MESH:D002825
DB00439,MESH:D013203
DB12531,MESH:D016750
DB05790,MESH:D006030
DB00712,MESH:D019967
DB00480,MESH:D004414
DB00348,MESH:D003240
DB00381,MESH:D007819
DB01084,MESH:D005756
DB00460,MESH:D005494
DB04786,MESH:D007794
DB14500,MESH:D006530
DB05057,MESH:D002422
DB00381,MESH:D004701
DB01672,MESH:D002189
DB01108,MESH:D002598
DB06211,MESH:D011702
DB06448,MESH:D006962
DB08804,MESH:D020270
DB01525,MESH:D010411
DB00332,MESH:D004698
DB00576,MESH:D003398
DB11151,MESH:D052016
DB14090,MESH:D014845
DB00595,MESH:D014777
DB01280,MESH:D020343
DB00348,MESH:D002639
DB05087,MESH:D008106
DB00655,MESH:D014604
DB09073,MESH:D054084
DB00946,MESH:D019457
DB05057,MESH:D053842
DB01084,MESH:D013700
DB06159,MESH:D020514
DB00211,MESH:D012088
DB01137,MESH:D020189
DB00332,MESH:D011123
DB01446,MESH:D007766
DB00332,MESH:D009212
DB06448,MESH:D003550
DB01164,MESH:D007674
DB05316,MESH:D018262
DB14574,MESH:D055948
DB06211,MESH:D020293
DB00917,MESH:D020138
DB06153,MESH:D003384
DB01280,MESH:D016535
DB01353,MESH:D060831
DB01672,MESH:D013920
DB05087,MESH:D002832
DB04076,MESH:D066253
DB00176,MESH:D014883
DB00332,MESH:D013706
DB00645,MESH:D054908
DB02650,MESH:D016464
DB06153,MESH:D014545
DB00595,MESH:D065630
DB00439,MESH:D006099
DB00348,MESH:D053120
DB05790,MESH:D007952
DB01525,MESH:D006395
DB05409,MESH:D012751
DB05409,MESH:D017454
DB00381,MESH:D016114
DB01164,MESH:D013125
DB01178,MESH:D020234
DB06211,MESH:D002357
DB01137,MESH:D009440
DB01525,MESH:D019873
DB06159,MESH:D003924
DB04786,MESH:D009450
DB01353,MESH:D003536
DB01373,MESH:D010391
DB00183,MESH:D006869
DB01084,MESH:D017444
DB00917,MESH:D004715
DB00595,MESH:D009437
DB00655,MESH:D051359
DB01645,MESH:D013375
DB05790,MESH:D016464
DB06448,MESH:D004605
DB00332,MESH:D006548
DB13014,MESH:D011000
DB00439,MESH:D006229
DB00332,MESH:D008881
DB01164,MESH:D003294
DB02650,MESH:D006562
DB00779,MESH:D002318
DB11387,MESH:D016868
DB06159,MESH:D054972
DB06153,MESH:D008439
DB00295,MESH:D056806
DB01280,MESH:D014777
DB01776,MESH:D013226
DB04076,MESH:D014715
DB00211,MESH:D017088
DB01373,MESH:D020151
DB00176,MESH:D020511
DB08804,MESH:D008180
DB01353,MESH:D014770
DB04076,MESH:D010373
DB00813,MESH:D018239
DB12531,MESH:D002471
DB00655,MESH:D020967
DB11387,MESH:D005767
DB14500,MESH:D060605
DB08881,MESH:D006053
DB04076,MESH:D064806
DB05057,MESH:D006971
DB00295,MESH:D063647
DB00595,MESH:D007015
DB04076,MESH:D018500
DB00946,MESH:D017514
DB14574,MESH:D016170
DB01917,MESH:D005911
DB12531,MESH:D004379
DB05964,MESH:D052880
DB00712,MESH:D015845
DB05316,MESH:D008181
DB01672,MESH:D006954
DB01353,MESH:D012208
DB09073,MESH:D015576
DB06153,MESH:D015493
DB01446,MESH:D009397
DB01447,MESH:D002639
DB00576,MESH:D006104
DB05964,MESH:D013625
DB05409,MESH:D006408
DB11151,MESH:D016862
DB04076,MESH:D020220
DB00712,MESH:D002869
DB01164,MESH:D006479
DB00176,MESH:D003453
DB01137,MESH:D017229
DB11387,MESH:D004694
DB01353,MESH:D007000
DB05057,MESH:D014607
DB01353,MESH:D020258
DB01178,MESH:D002524
DB00460,MESH:D010538
DB06153,MESH:D008173
DB05316,MESH:D014525
DB01776,MESH:D013966
DB00655,MESH:D012598
DB00460,MESH:D002389
DB06335,MESH:D006689
DB14090,MESH:D002180
DB01373,MESH:D013684
DB05087,MESH:D010148
DB00655,MESH:D003480
DB04076,MESH:D005532
DB01137,MESH:D013923
DB00381,MESH:D055496
DB00381,MESH:D018792
DB00813,MESH:D011470
DB04786,MESH:D003316
DB08881,MESH:D005761
DB12531,MESH:D006948
DB00183,MESH:D006319
DB05409,MESH:D020828
DB06448,MESH:D002280
DB04076,MESH:D001930
DB00211,MESH:D012829
DB04076,MESH:D018921
DB00712,MESH:D014398
DB00779,MESH:D013290
DB08804,MESH:D016104
DB05964,MESH:D007943
DB06153,MESH:D020774
DB00946,MESH:D012607
DB00480,MESH:D017543
DB01353,MESH:D007280
DB11151,MESH:D014983
DB00460,OMIM:146850
DB00946,MESH:D013088
DB01645,MESH:D002280
DB06211,MESH:D014120
DB04786,MESH:D054061
DB00480,MESH:D007896
DB00183,MESH:D006689
DB00645,MESH:D003711
DB01917,MESH:D002062
DB06335,MESH:D020795
DB14574,MESH:D011565
DB06335,MESH:D007898
DB00211,MESH:D010930
DB05316,MESH:D003130
DB13014,MESH:D013167
DB00480,MESH:D013122
DB14574,MESH:D007018
DB00556,MESH:D007941
DB01575,MESH:D006725
DB00295,MESH:D011696
DB02650,MESH:D006563
DB01108,MESH:D007569
DB01373,MESH:D002639
DB00576,MESH:D005199
DB01084,MESH:D065306
DB01447,MESH:D015440
DB01137,MESH:D014202
DB14090,MESH:D016609
DB00480,MESH:D014689
DB05087,MESH:D011249
DB11141,MESH:D018221
DB00460,MESH:D014076
DB01280,MESH:D010921
DB06335,MESH:D006930
DB01917,MESH:D006431
DB06153,MESH:D019189
DB06448,MESH:D003865
DB01137,MESH:D023903
DB00712,MESH:D020920
DB04076,MESH:D015477
DB00332,MESH:D002761
DB00381,MESH:D012510
DB00595,MESH:D004942
DB09070,MESH:D016773
DB05087,MESH:D005356
DB14574,MESH:D017563
DB05087,MESH:D008305
DB00882,MESH:D012130
DB06159,MESH:D053713
DB01447,MESH:D002915
DB01917,MESH:D006547
DB00813,MESH:D013746
DB00946,MESH:D020146
DB01353,MESH:D055191
DB01178,MESH:D003320
DB01280,MESH:D015840
DB01525,MESH:D020149
DB06211,MESH:D017191
DB06159,MESH:D010673
DB05964,MESH:D015819
DB05087,MESH:D016481
DB01446,MESH:D003925
DB04076,MESH:D015812
DB05790,MESH:D015464
DB00348,MESH:D010211
DB01672,MESH:D002032
DB08804,MESH:D056648
DB01447,MESH:D007775
DB00439,MESH:D056806
DB05790,MESH:D012510
DB02650,MESH:D014846
DB09070,MESH:D016870
DB00946,MESH:D018248
DB01575,MESH:D014786
DB13014,MESH:D012561
DB01280,MESH:D009402
DB12531,MESH:D020306
DB00576,MESH:D009423
DB01164,MESH:D007647
DB05316,MESH:D004832
DB00211,MESH:D012874
DB11132,MESH:D017240
DB14574,MESH:D002105
DB05964,MESH:D008588
DB00332,MESH:D020260
DB00211,MESH:D020773
DB01645,MESH:D006486
DB01672,MESH:D007970
DB06159,MESH:D003095
DB00946,MESH:D065817
DB01137,MESH:D007499
DB08881,MESH:D014385
DB14574,MESH:D007829
DB09073,MESH:D003550
DB00645,MESH:D004620
DB06448,MESH:D057767
DB01373,MESH:D007280
DB11151,MESH:D020226
DB05409,MESH:D018232
DB09073,MESH:D013272
DB00332,MESH:D010009
DB02650,MESH:D007154
DB06335,MESH:D015834
DB01137,MESH:D018771
DB01178,MESH:D064793
DB01178,MESH:D015431
DB14574,MESH:D016893
DB00480,MESH:D007710
DB11387,MESH:D053201
DB00211,MESH:D013991
DB05409,MESH:D060446
DB08804,MESH:D005494
DB11151,MESH:D019851
DB02650,MESH:D006391
DB00183,MESH:D005715
DB06335,MESH:D017674
DB11141,MESH:D002278
DB11151,MESH:D012221
DB12531,MESH:D030342
DB00712,MESH:D006502
DB11387,MESH:D002822
DB01373,MESH:D016773
DB01108,MESH:D012851
DB01525,MESH:D005402
DB14090,MESH:D012481
DB00480,MESH:D025242
DB00645,MESH:D017719
DB01917,MESH:D007228
DB05057,MESH:D010997
DB01353,MESH:D005317
DB06153,MESH:D007431
DB00813,MESH:D009894
DB00813,MESH:D008107
DB05790,MESH:D019693
DB00348,MESH:D002276
DB01373,MESH:D066253
DB05790,MESH:D018549
DB00381,MESH:D003027
DB00480,MESH:D056150
DB01373,MESH:D002532
DB14090,MESH:D031300
DB06153,MESH:D053578
DB13014,MESH:D018256
DB00882,MESH:D020326
DB01575,MESH:D006059
DB00779,MESH:D002598
DB11387,MESH:D020246
DB00460,MESH:D016301
DB05964,MESH:D010024
DB04786,MESH:D002754
DB01353,MESH:D010995
DB02650,MESH:D010864
DB14500,MESH:D009207
DB11387,MESH:D014591
DB09073,MESH:D014516
DB00645,MESH:D017098
DB04786,MESH:D013342
DB11151,MESH:D054331
DB02650,MESH:D018376
DB11387,MESH:D012852
DB00882,MESH:D020176
DB00480,MESH:D011537
DB09073,MESH:D008108
DB00712,MESH:D015154
DB01525,MESH:D007806
DB01917,MESH:D009050
DB01108,MESH:D008850
DB06159,MESH:D007010
DB01164,MESH:D056648
DB09073,MESH:D014314
DB13014,MESH:D011129
DB14090,MESH:D055665
DB01645,MESH:D012735
DB05057,MESH:D056487
DB02650,MESH:D003371
DB00556,MESH:D010273
DB00439,MESH:D019462
DB00946,MESH:D014770
DB00712,MESH:D007794
DB00882,MESH:D019694
DB14574,MESH:D019584
DB06448,MESH:D014735
DB00480,MESH:D020429
DB00183,MESH:D011115
DB01672,MESH:D015275
DB00712,MESH:D006561
DB00712,MESH:D003704
DB00882,MESH:D014545
DB00576,MESH:D006947
DB14574,MESH:D004890
DB01353,MESH:D016135
DB05087,MESH:D010007
DB06159,MESH:D004461
DB00946,MESH:D002303
DB00946,MESH:D010911
DB04076,MESH:D007333
DB08881,MESH:D008230
DB00576,MESH:D054060
DB06211,MESH:D018243
DB00381,MESH:D006341
DB05057,MESH:D014125
DB00381,MESH:D018357
DB01137,MESH:D056806
DB01446,MESH:D006501
DB01353,MESH:D002252
DB00176,MESH:D020324
DB00211,MESH:D003881
DB00712,MESH:D003092
DB01084,MESH:D015432
DB00645,MESH:D006978
DB14574,MESH:D011528
DB05057,MESH:D008101
DB04076,MESH:D009765
DB01108,MESH:D012893
DB05057,MESH:D009347
DB01084,MESH:D020806
DB00813,MESH:D056150
DB01137,MESH:D020065
DB00779,MESH:D016534
DB11151,MESH:D011045
DB01280,MESH:D014766
DB00183,MESH:D005739
DB00332,MESH:D011644
DB04786,MESH:D006869
DB00332,MESH:D054061
DB00917,MESH:D054141
DB00645,MESH:D051271
DB06448,OMIM:102530
DB00917,MESH:D006391
DB01645,MESH:D011628
DB11141,MESH:D014646
DB00595,MESH:D020244
DB06448,MESH:D004827
DB05409,MESH:D045602
DB01137,MESH:D004893
DB00645,MESH:D053565
DB00576,MESH:D013001
DB11132,MESH:D020427
DB01178,MESH:D005311
DB00211,MESH:D020967
DB11387,MESH:D009364
DB05409,MESH:D007049
DB11132,MESH:D013121
DB05409,MESH:D015155
DB02650,MESH:D020240
DB11141,MESH:D010032
DB00381,MESH:D013705
DB05964,MESH:D017543
DB00882,MESH:D016171
DB00712,MESH:D006332
DB09073,MESH:D015819
DB14090,MESH:D017241
DB05087,MESH:D008171
DB00813,MESH:D055665
DB11387,MESH:D004673
DB00779,MESH:D007003
DB00480,MESH:D013492
DB00595,MESH:D010520
DB02650,MESH:D018307
DB00655,MESH:D009375
DB00332,MESH:D002559
DB01447,MESH:D018777
DB11387,MESH:D018458
DB09073,MESH:D013953
DB01575,MESH:D053202
DB13014,MESH:D009472
DB06335,MESH:D005833
DB05087,MESH:D014402
DB00882,MESH:D020232
DB09070,MESH:D008209
DB00480,MESH:D020516
DB05316,MESH:D007896
DB05316,MESH:D019557
DB00480,MESH:D009397
DB01164,MESH:D020190
DB00381,MESH:D020967
DB01353,MESH:D003967
DB01108,MESH:D011317
DB05087,MESH:D019967
DB01084,MESH:D041761
DB00348,MESH:D010182
DB00348,MESH:D020759
DB01672,MESH:D059348
DB00381,MESH:D014653
DB00439,MESH:D009846
DB00439,MESH:D020529
DB00645,MESH:D013130
DB14090,MESH:D053714
DB00882,MESH:D050723
DB00556,MESH:D018856
DB01447,MESH:D006969
DB14500,MESH:D016491
DB08804,MESH:D053201
DB00813,MESH:D007642
DB00882,MESH:D006521
DB06159,MESH:D056912
DB01108,MESH:D009771
DB05057,MESH:D007249
DB00917,MESH:D017590
DB06159,MESH:D007411
DB06211,MESH:D024801
DB00779,MESH:D044504
DB05964,MESH:D011128
DB00480,MESH:D011668
DB00556,MESH:D005902
DB00176,MESH:D008228
DB00348,MESH:D020339
DB00348,MESH:D006323
DB06159,MESH:D013736
DB00917,MESH:D010229
DB00882,MESH:D013281
DB01525,MESH:D020760
DB01776,MESH:D014202
DB00779,MESH:D002806
DB01164,MESH:D065306
DB11387,MESH:D013166
DB00882,MESH:D002494
DB13014,MESH:D019214
DB01353,MESH:D010309
DB13014,MESH:D005207
DB08881,MESH:D054438
DB01917,MESH:D002659
DB11151,MESH:D014010
DB14500,MESH:D063766
DB01373,MESH:D002277
DB01575,MESH:D024801
DB00712,MESH:D005909
DB01672,MESH:D012771
DB01525,MESH:D063806
DB08804,MESH:D023903
DB06448,MESH:D009400
DB11141,MESH:D015817
DB06211,MESH:D065886
DB01164,MESH:D012883
DB11141,MESH:D003103
DB00460,MESH:D020803
DB00556,MESH:D012478
DB01164,MESH:D016574
DB05964,MESH:D014514
DB00655,MESH:D006467
DB00917,MESH:D009209
DB04076,MESH:D009102
DB00348,MESH:D002481
DB12531,MESH:D005334
DB06448,MESH:D008944
DB06211,MESH:D012555
DB09070,MESH:D054438
DB00946,MESH:D002764
DB12531,MESH:D010930
DB05790,MESH:D009222
DB01446,MESH:D005705
DB01084,MESH:D005683
DB01575,MESH:D004774
DB00595,MESH:D054058
DB01280,MESH:D002761
DB00946,MESH:D003554
DB01446,MESH:D012162
DB06335,MESH:D019969
DB00779,MESH:D007718
DB00595,MESH:D008708
DB00480,MESH:D004381
DB08881,MESH:D020163
DB00655,MESH:D005155
DB01776,MESH:D018188
DB00946,MESH:D021782
DB01280,MESH:D009207
DB08804,MESH:D007405
DB05087,MESH:D006431
DB01645,MESH:D065817
DB09073,MESH:D014069
DB05790,MESH:D018979
DB01108,MESH:D005667
DB01776,MESH:D019446
DB01353,MESH:D008178
DB11151,MESH:D013160
DB00595,MESH:D009190
DB06448,MESH:D017043
DB13014,MESH:D001991
DB08881,MESH:D056829
DB01084,MESH:D012626
DB01137,MESH:D008850
DB01776,MESH:D012804
DB05964,MESH:D009165
DB01353,MESH:D006374
DB14574,MESH:D013122
DB01446,MESH:D053584
DB06159,MESH:D007973
DB04076,MESH:D018281
DB06153,MESH:D003093
DB00645,MESH:D008209
DB00460,MESH:D008831
DB01446,MESH:D009021
DB00645,MESH:D015875
DB01137,MESH:D002759
DB01353,MESH:D015576
DB11132,MESH:D005128
DB09070,MESH:D010005
DB01373,MESH:D013736
DB00813,MESH:D007896
DB05087,MESH:D008258
DB06448,MESH:D012595
DB06448,MESH:D010698
DB00882,MESH:D007567
DB06448,MESH:D007706
DB00211,MESH:D056769
DB14500,MESH:D013031
DB01353,MESH:D003111
DB11387,MESH:D011695
DB14500,MESH:D006977
DB06153,MESH:D014190
DB01575,MESH:D005549
DB02650,MESH:D007299
DB00779,MESH:D014735
DB01178,MESH:D011832
DB00439,MESH:D017254
DB05790,MESH:D011695
DB01353,MESH:D020146
DB04786,MESH:D016863
DB01137,MESH:D010001
DB06448,MESH:D010412
DB05316,MESH:D012135
DB01776,MESH:D039682
DB06335,MESH:D064793
DB06211,MESH:D015432
DB06211,MESH:D016469
DB01280,MESH:D015161
DB00576,MESH:D020936
DB09073,MESH:D005862
DB00460,MESH:D016779
DB06153,MESH:D014689
DB11387,MESH:D065766
DB00556,MESH:D006342
DB00946,MESH:D020096
DB00176,MESH:D014973
DB00712,MESH:D019966
DB01164,MESH:D005203
DB00211,MESH:D058267
DB11387,MESH:D006968
DB00332,MESH:D016553
DB00183,MESH:D004673
DB00480,MESH:D019106
DB01446,MESH:D007411
DB00813,MESH:D014806
DB14574,MESH:D003790
DB05790,MESH:D012595
DB12531,MESH:D018488
DB00882,MESH:D009444
DB11132,MESH:D058267
DB01164,MESH:D007019
DB00917,MESH:D005185
DB00332,MESH:D012127
DB05057,MESH:D008587
DB01178,MESH:D056988
DB11132,MESH:D013276
DB14090,MESH:D011007
DB00645,MESH:D020138
DB05964,MESH:D017241
DB00183,MESH:D047928
DB08804,MESH:D020431
DB01280,MESH:D054079
DB02650,MESH:D005350
DB05087,MESH:D003110
DB00655,MESH:D018222
DB00779,MESH:D006941
DB01446,MESH:D018488
DB05057,MESH:D007794
DB01353,MESH:D011832
DB00176,MESH:D015436
DB01446,MESH:D002340
DB09073,MESH:D014570
DB11151,MESH:D013612
DB00460,MESH:D014545
DB04076,MESH:D012783
DB00882,MESH:D014715
DB00946,MESH:D044584
DB00813,MESH:D058922
DB00576,MESH:D020511
DB00556,MESH:D016063
DB06153,MESH:D055963
DB06159,MESH:D014123
DB14574,MESH:D003926
DB01084,MESH:D003456
DB09073,MESH:D007706
DB14090,MESH:D016757
DB08881,MESH:D007766
DB06153,MESH:D015490
DB05087,MESH:D009133
DB02650,MESH:D006528
DB00946,MESH:D016491
DB00595,MESH:D054198
DB04786,MESH:D017109
DB12531,MESH:D005162
DB08804,MESH:D005687
DB01137,MESH:D017119
DB04076,MESH:D007511
DB06159,MESH:D002178
DB09070,MESH:D012466
DB08804,MESH:D016780
DB01525,MESH:D010022
DB00460,MESH:D009135
DB14500,MESH:D003919
DB01672,MESH:D008103
DB01776,MESH:D057973
DB01137,MESH:D012202
DB00348,MESH:D018248
DB00645,MESH:D050798
DB01645,MESH:D047748
DB04076,MESH:D008113
DB06211,MESH:D015435
DB14090,MESH:D001991
DB00211,MESH:D019465
DB01776,MESH:D009139
DB01164,MESH:D014135
DB01280,MESH:D014890
DB09073,MESH:D007405
DB00779,MESH:D008415
DB00712,MESH:D004108
DB05964,MESH:D052439
DB00946,MESH:D013924
DB12531,MESH:D018777
DB00645,MESH:D013614
DB01672,MESH:D010494
DB00439,MESH:D054319
DB01446,MESH:D019283
DB12531,MESH:D002295
DB01164,MESH:D046648
DB04076,MESH:D006556
DB11141,MESH:D017492
DB00645,MESH:D003316
DB04076,MESH:D013121
DB05057,MESH:D013160
DB00595,MESH:D007662
DB01447,MESH:D018239
DB01137,MESH:D064419
DB09070,MESH:D018196
DB00946,MESH:D014813
DB00655,MESH:D038261
DB05087,MESH:D006423
DB05057,MESH:D005401
DB01108,MESH:D008325
DB05057,MESH:D059246
DB02650,MESH:D051302
DB01137,MESH:D006951
DB09070,MESH:D011183
DB00655,MESH:D011015
DB11132,MESH:D013616
DB06448,MESH:D017728
DB05409,MESH:D006976
DB01108,MESH:D008588
DB11151,MESH:D007500
DB06335,MESH:D010198
DB01776,MESH:D007589
DB00439,MESH:D014202
DB06211,MESH:D054079
DB00332,MESH:D011605
DB06211,MESH:D046648
DB00348,MESH:D009357
DB14090,MESH:D009914
DB05964,MESH:D011226
DB00332,MESH:D011695
DB00946,MESH:D018409
DB00332,MESH:D004774
DB04786,MESH:D007889
DB01353,MESH:D051270
DB01280,MESH:D006929
DB00655,MESH:D044483
DB00882,MESH:D019121
DB01575,MESH:D015043
DB00556,MESH:D007752
DB00946,MESH:D054429
DB06211,MESH:D002114
DB01446,MESH:D009750
DB00348,MESH:D020145
DB01084,MESH:D016870
DB05057,MESH:D002581
DB00183,MESH:D006967
DB11141,MESH:D052879
DB00348,MESH:D014898
DB00917,MESH:D047508
DB00917,MESH:D008637
DB09070,MESH:D010022
DB14500,MESH:D011557
DB05964,MESH:D011123
DB09073,MESH:D051436
DB00556,MESH:D010167
DB01575,MESH:D017599
DB00176,MESH:D014823
DB01917,MESH:D002528
DB11141,MESH:D020431
DB05057,MESH:D009196
DB00595,MESH:D005886
DB01447,MESH:D005142
DB00712,MESH:D014435
DB00332,MESH:D003130
DB11141,MESH:D007627
DB01084,MESH:D009212
DB01373,MESH:D005334
DB00595,MESH:D020795
DB01108,MESH:D015858
DB01178,MESH:D018248
DB00645,MESH:D020520
DB06211,MESH:D012002
DB01108,MESH:D014397
DB08804,MESH:D016483
DB09073,MESH:D002313
DB00576,MESH:D015436
DB01575,MESH:D020234
DB01108,MESH:D012797
DB00348,MESH:D014581
DB09073,MESH:D006994
DB01447,MESH:D014524
DB09073,MESH:D012216
DB01575,MESH:D014391
DB00348,MESH:D017511
DB00946,MESH:D005335
DB01353,MESH:D059246
DB00348,MESH:D018908
DB00348,MESH:D005335
DB00183,MESH:D003453
DB00645,MESH:D016114
DB01525,MESH:D006970
DB00332,MESH:D008796
DB09070,MESH:D010267
DB01178,MESH:D016919
DB00645,MESH:D017545
DB00183,MESH:D038062
DB11151,MESH:D006980
DB01108,MESH:D007951
DB00645,MESH:D002822
DB00779,MESH:D007174
DB01672,MESH:D012893
DB12531,MESH:D002690
DB00348,MESH:D007248
DB00439,MESH:D006869
DB12531,MESH:D009137
DB01280,MESH:D013088
DB00381,MESH:D007638
DB01108,MESH:D056806
DB00645,MESH:D051516
DB00655,MESH:D010254
DB00645,MESH:D052439
DB00645,MESH:D010235
DB11151,MESH:D011671
DB01353,MESH:D004240
DB14090,MESH:D007119
